Invoice ID,Purchase Date,Time,Gender,City,Payment Method,Invoice Amount
11241,2023-12-14,16:02,Female,Guanajuato,PayPal,681.83
14638,2023-02-17,18:03,Male,León,Cash,600.64
10356,2023-10-05,19:29,Female,Moroleón,PayPal,693.08
13905,2023-02-07,11:29,Female,Monterrey,Credit Card,846.48
14058,2023-09-07,20:13,Male,Morelia,Credit Card,119.12
10487,2023-03-05,18:19,Male,Monterrey,Cash,745.05
14470,2023-10-28,11:12,Female,Moroleón,Credit Card,559.51
11237,2023-12-03,16:46,Male,Guanajuato,Cash,146.27
14639,2023-07-20,11:40,Female,Guanajuato,Credit Card,982.92
10650,2023-11-12,12:11,Male,Monterrey,PayPal,440.49
12164,2023-06-07,17:53,Female,Morelia,PayPal,910.74
13436,2023-04-28,20:46,Male,Guanajuato,Credit Card,372.46
12631,2023-01-11,15:23,Female,Moroleón,Cash,740.66
12281,2023-05-06,16:14,Female,Morelia,PayPal,184.76
10368,2023-05-31,09:39,Male,Moroleón,Cash,209.56
13162,2023-09-25,14:11,Female,León,Credit Card,449.28
12413,2023-08-03,11:52,Female,Moroleón,PayPal,278.64
14240,2023-10-25,14:07,Female,Guanajuato,Credit Card,471.66
12320,2023-11-27,18:03,Male,Monterrey,PayPal,771.81
13177,2023-12-01,18:51,Female,Guanajuato,Cash,493.49
10501,2023-11-27,09:28,Male,Moroleón,PayPal,334.89
10012,2023-11-02,11:00,Male,León,Cash,824.03
12910,2023-07-26,14:25,Female,León,Credit Card,412.08
12707,2023-05-10,11:26,Male,Guanajuato,Credit Card,520.17
11677,2023-06-21,18:46,Female,Moroleón,PayPal,352.54
10703,2023-06-25,18:09,Female,Guanajuato,Credit Card,799.01
12857,2023-10-19,11:11,Male,Guanajuato,Cash,513.14
13480,2023-08-13,10:30,Male,León,Credit Card,611.06
12207,2023-10-19,15:30,Male,Monterrey,PayPal,211.69
11737,2023-07-09,16:45,Male,Moroleón,PayPal,78.53
13435,2023-01-27,15:48,Male,Guanajuato,Credit Card,303.89
12911,2023-06-20,10:35,Male,Morelia,Credit Card,917.1
13397,2023-10-17,09:16,Female,León,PayPal,733.02
12470,2023-12-05,16:01,Female,Moroleón,Cash,243.95
10738,2023-04-30,20:01,Male,León,PayPal,348.58
10428,2023-05-12,09:26,Female,Guanajuato,Cash,384.16
12087,2023-06-01,11:20,Female,Monterrey,PayPal,638.68
13201,2023-08-26,13:11,Male,León,PayPal,382.07
14453,2023-04-18,13:48,Female,León,PayPal,419.18
13547,2023-06-12,16:49,Female,Moroleón,PayPal,332.7
