Invoice ID,Purchase Date,Time,Gender,City,Payment Method,Invoice Amount
12544,2024-07-07,14:10,Male,Morelia,Credit Card,23.83
13113,2024-12-09,14:06,Female,León,Credit Card,79.26
10790,2024-11-21,20:47,Male,Morelia,PayPal,953.96
14181,2024-04-07,20:17,Male,Guanajuato,PayPal,909.43
10159,2024-12-27,12:09,Female,Monterrey,PayPal,567.14
12357,2024-08-25,14:36,Male,Guanajuato,Cash,938.32
13790,2024-03-29,11:38,Male,Monterrey,PayPal,403.87
14257,2024-07-15,09:22,Female,Guanajuato,Cash,538.56
10806,2024-07-31,10:19,Male,Moroleón,Credit Card,574.73
14074,2024-12-20,11:15,Female,León,Credit Card,616.63
14660,2024-12-23,18:05,Female,Guanajuato,Credit Card,645.28
11549,2024-12-28,16:31,Female,Guanajuato,Cash,493.85
12676,2024-02-10,09:17,Male,Guanajuato,Cash,894.25
12188,2024-04-26,14:08,Male,Guanajuato,Cash,610.46
11585,2024-02-25,15:40,Female,Guanajuato,Credit Card,210.27
14163,2024-03-10,15:52,Male,Morelia,Cash,823.28
12486,2024-01-22,15:06,Male,Monterrey,PayPal,685.43
13336,2024-07-07,20:21,Female,Monterrey,PayPal,805.59
11037,2024-11-02,14:28,Female,Monterrey,Cash,925.61
14802,2024-03-24,17:14,Male,Moroleón,PayPal,319.59
12450,2024-09-01,13:53,Male,Monterrey,Credit Card,529.53
12052,2024-11-02,19:38,Female,Guanajuato,Credit Card,288.67
10062,2024-04-05,11:17,Male,Morelia,Cash,584.93
12404,2024-02-20,11:43,Female,Guanajuato,PayPal,958.81
14219,2024-06-05,15:16,Male,León,Credit Card,278.03
14461,2024-11-07,19:44,Female,Monterrey,Cash,285.13
12676,2024-05-05,16:27,Female,Guanajuato,Credit Card,799.7
13487,2024-06-11,14:36,Female,Morelia,Credit Card,75.53
11832,2024-12-04,12:52,Male,Moroleón,PayPal,92.18
10830,2024-06-03,16:39,Female,León,Cash,119.83
11944,2024-03-23,17:57,Female,León,Credit Card,618.2
10625,2024-01-15,18:07,Male,Monterrey,PayPal,226.74
11972,2024-06-19,14:08,Male,Moroleón,Cash,328.98
12502,2024-10-29,15:49,Male,Monterrey,Cash,243.62
14030,2024-08-19,19:38,Female,Monterrey,Cash,97.04
11356,2024-01-22,18:33,Male,Moroleón,Credit Card,954.67
10144,2024-08-12,12:03,Male,Moroleón,Cash,688.32
11999,2024-07-05,15:03,Male,Monterrey,Cash,85.88
14552,2024-10-16,12:51,Female,Morelia,Cash,315.35
12663,2024-06-02,09:42,Male,Morelia,Cash,28.69
14319,2024-05-24,14:07,Female,León,PayPal,440.54
10777,2024-05-03,14:16,Male,Moroleón,Credit Card,78.49
12465,2024-05-20,14:30,Female,Moroleón,Credit Card,283.07
12388,2024-01-07,15:36,Female,Moroleón,PayPal,83.18
11723,2024-08-21,19:32,Male,Morelia,PayPal,615.89
11910,2024-02-20,20:53,Female,León,PayPal,419.77
12536,2024-06-16,11:07,Male,Moroleón,Cash,133.06
14987,2024-06-07,09:28,Female,León,Cash,765.37
